14:19:44.299 -> $25100;-0.01;0.01;1.01;-0.01;0.01;1.01;-2.62;12.32;6.10;2.87;1.10;3.23;27.60;12.16;22.09;28.86;13.44;20.87;101435.53;27.22;-0.04;0.00;E;0.00;N;0.00;0.00;0.00;0.00;0.00;0;0;0;0.00;0;0;0*
14:19:44.392 -> $25200;-0.01;0.01;1.00;-0.01;0.01;1.01;-3.78;-0.73;4.51;0.30;-1.16;13.23;26.88;10.35;20.00;26.88;10.35;20.00;101430.31;27.21;0.00;0.00;E;0.00;N;0.00;0.00;0.00;0.00;0.00;0;0;0;0.00;0;0;0*
14:19:44.533 -> $25300;-0.01;0.01;1.00;-0.01;0.01;1.00;2.80;1.10;-0.49;-3.35;-2.80;2.68;28.68;11.08;21.74;28.68;11.08;21.74;101433.00;27.21;-0.02;0.00;E;0.00;N;0.00;0.00;0.00;0.00;0.00;0;0;0;0.00;0;0;0*
14:19:44.580 -> $25400;-0.01;0.01;1.00;-0.01;0.01;1.00;-2.62;17.62;-2.99;0.91;6.16;-7.44;27.24;12.89;20.70;27.24;12.89;20.70;101432.64;27.21;-0.01;0.00;E;0.00;N;0.00;0.00;0.00;0.00;0.00;0;0;0;0.00;0;0;0*
14:19:44.673 -> $25500;-0.01;0.01;1.00;-0.01;0.01;1.01;4.57;7.01;2.87;-0.30;-0.30;1.28;27.78;12.71;21.57;27.78;12.71;21.57;101435.46;27.21;-0.04;0.00;E;0.00;N;0.00;0.00;0.00;0.00;0.00;0;0;0;0.00;0;0;0*
14:19:44.765 -> $25600;-0.01;0.01;1.00;-0.01;0.01;1.00;-3.78;-8.66;-4.57;-6.10;-3.17;-10.67;27.96;13.25;20.35;28.86;10.89;22.96;101435.42;27.20;-0.04;0.00;E;0.00;N;0.00;0.00;0.00;0.00;0.00;0;0;0;0.00;0;0;0*
14:19:44.905 -> $25700;-0.01;0.01;1.01;-0.01;0.01;1.00;-0.91;-0.55;3.78;3.05;-2.99;-5.85;26.70;11.62;21.57;28.14;12.35;21.22;101431.48;27.21;-0.00;0.00;E;0.00;N;0.00;0.00;0.00;0.00;0.00;0;0;0;0.00;0;0;0*
14:19:44.952 -> $25800;-0.01;0.01;1.00;-0.01;0.01;1.01;5.18;10.24;-12.26;-0.30;7.80;2.93;27.06;11.62;22.61;27.06;11.62;22.61;101434.19;27.21;-0.03;0.00;E;0.00;N;0.00;0.00;0.00;0.00;0.00;0;0;0;0.00;0;0;0*
14:19:45.091 -> $25900;-0.01;0.01;1.00;-0.01;0.01;1.00;-5.91;-4.57;-2.07;2.87;-4.02;3.05;27.60;12.16;21.74;27.60;12.16;21.74;101433.39;27.22;-0.02;0.00;E;0.00;N;0.00;0.00;0.00;0.00;0.00;0;0;0;0.00;0;0;0*
14:19:45.185 -> $26000;-0.01;0.01;1.01;-0.01;0.01;1.00;1.10;3.54;-3.66;-0.49;-0.30;-4.94;26.70;12.71;22.27;26.70;12.71;22.27;101434.52;27.23;-0.03;0.00;E;0.00;N;0.00;0.00;0.00;0.00;0.00;0;0;0;0.00;0;0;0*
14:19:45.277 -> $26100;-0.01;0.01;1.00;-0.01;0.01;1.00;1.46;3.96;-1.04;2.44;0.67;2.01;27.78;12.35;21.92;27.78;12.35;21.92;101434.66;27.22;-0.03;0.00;E;0.00;N;0.00;0.00;0.00;0.00;0.00;0;0;0;0.00;0;0;0*
